,latitude,longitude
0,-7.018,-35.258
1,-7.019,-35.241
2,-7.022,-35.262
3,51.42100000000001,143.38
4,40.532,141.497
5,40.531,141.516
6,-4.205,143.596
7,-7.309,140.52700000000002
8,-7.9910000000000005,142.879
9,-8.105,142.947
10,-7.725,140.05700000000002
11,-7.73,139.59
12,-8.05,141.623
13,-7.808,139.487
14,-7.809,139.499
15,-7.819,139.498
16,-7.989,140.219
17,-8.04,140.50799999999998
18,-8.312000000000001,141.754
19,-7.867999999999999,138.033
20,-7.87,138.043
21,-8.007,138.80100000000002
22,-8.394,141.553
23,-8.289,140.399
24,-8.008,138.028
25,-8.6,141.957
26,-8.603,141.976
27,-8.628,141.878
28,-8.64,141.877
29,-8.63,141.873
30,-8.642000000000001,141.871
31,-8.645,141.889
32,-8.156,137.91299999999998
33,-8.634,141.33700000000002
34,-8.271,138.075
35,-9.062999999999999,142.60399999999998
36,-8.904,140.97899999999998
37,-9.005,141.241
38,-9.152000000000001,141.7
39,-9.154,141.694
40,-7.763999999999999,131.168
41,-12.21,142.17700000000002
42,-12.213,142.08700000000002
43,-12.204,142.171
44,-12.220999999999998,142.079
45,-12.222999999999999,142.101
46,-12.329,141.778
47,-12.332,141.799
48,-12.347999999999999,141.81799999999998
49,-12.344000000000001,141.812
50,-12.523,141.763
51,-12.526,141.784
52,-12.519,141.757
53,-12.522,141.778
54,-11.694,135.153
55,-11.293,132.458
56,-12.85,143.079
57,-11.456,132.846
58,-12.85,143.072
59,-11.523,133.063
60,-11.532,133.061
61,-11.49,132.084
62,-11.277000000000001,130.475
63,-12.267999999999999,136.58
64,-12.395,136.826
65,-12.277999999999999,135.812
66,-12.287,135.81
67,-11.849,132.795
68,-12.399000000000001,136.47
69,-12.408,136.469
70,-12.286,135.55
71,-11.87,132.738
72,-12.295,135.549
73,-12.296,135.558
74,-12.158,133.946
75,-12.515999999999998,136.379
76,-12.522,136.358
77,-12.526,136.387
78,-12.241,134.315
79,-12.243,134.325
80,-12.559000000000001,136.105
81,-12.568,136.10299999999998
82,-12.63,136.405
83,-12.636,136.194
84,-12.142000000000001,132.773
85,-12.627,136.002
86,-12.628,136.012
87,-12.654000000000002,135.998
88,-12.512,134.9
89,-12.199000000000002,132.736
90,-12.21,132.745
91,-12.274000000000001,132.905
92,-13.655999999999999,142.744
93,-13.66,142.77
94,-13.661,142.765
95,-12.343,131.972
96,-13.193,132.696
97,-14.562999999999999,141.969
98,-13.759,135.811
99,-14.569,141.96200000000002
100,-13.939,134.155
101,-15.022,142.255
102,-15.025,142.281
103,-15.025,142.249
104,-15.027999999999999,142.275
105,-15.082,142.243
106,-15.085,142.268
107,-15.15,142.21
108,-13.519,130.10399999999998
109,-13.517999999999999,130.09799999999998
110,-15.692,144.422
111,-15.695,144.415
112,-15.776,144.366
113,-14.738,135.265
114,-14.739,135.275
115,-14.748,135.273
116,-14.769,135.289
117,-13.982000000000001,129.77100000000002
